decoration,elevator,location,orientation,pattern,property,size,total_price,unit_price,village
简装,无电梯,科技园区,南 北,3室1厅,1997年建板楼,95.23平米,510,53555,育仁里2号院 
简装,有电梯,玉泉营,南 北,2室1厅,2005年建板楼,99.97平米,655,65520,三环新城4号院 
精装,有电梯,玉泉营,东南 北,2室1厅,2006年建板楼,82.62平米,560,67781,中景理想家 
简装,无电梯,科技园区,南 北,3室1厅,1996年建板楼,105.9平米,570,53825,丰泽居三号院 
精装,有电梯,玉泉营,南 北,3室2厅,2005年建板楼,132.89平米,950,71488,万年花城二期 
简装,有电梯,看丹桥,西,2室1厅,2008年建塔楼,91.72平米,455,49608,韩庄子小区 
精装,有电梯,科技园区,南 北,3室1厅,2002年建板楼,147.56平米,750,50827,益辰欣园 
简装,无电梯,七里庄,南 北,2室1厅,1994年建板楼,49.42平米,330,66775,中建一局北院 
简装,有电梯,科技园区,南 东北,3室1厅,1999年建塔楼,132.96平米,600,45127,恒富花园2号院 
简装,有电梯,玉泉营,南,3室1厅,2005年建板楼,122.08平米,705,57750,三环新城6号院 
简装,无电梯,看丹桥,南 北,2室1厅,1996年建板楼,62.6平米,345,55112,新华街四里 
简装,1室0厅,太平桥,南,2室1厅,1990年建板楼,70.65平米,420,59448,精图小区55号院 
其他,有电梯,科技园区,西,1室0厅,2012年建板楼,49.61平米,336,67729,中海御鑫阁 
简装,无电梯,七里庄,南 北,3室1厅,1986年建板楼,75.94平米,456,60048,东大街西里 
简装,有电梯,科技园区,西,2室1厅,2000年建塔楼,67.9平米,298,43889,宝隆温泉公寓 
简装,无电梯,七里庄,南 北,2室1厅,1983年建板楼,63.2平米,355,56171,中建一局北院 
其他,无电梯,科技园区,南 北,2室1厅,2003年建板楼,62.48平米,315,50417,恒富中街3号院 
简装,无电梯,看丹桥,南 北,2室1厅,1985年建板楼,59.41平米,297,49992,南开地 
简装,有电梯,五里店,南 北,2室1厅,2005年建板楼,76.58平米,395,51581,和光里 
其他,有电梯,马家堡,西,1室1厅,1997年建板楼,51.86平米,260,50135,嘉园三里 
简装,无电梯,卢沟桥,南 北,1室1厅,2002年建板楼,69.56平米,305,43848,新月家园 
简装,无电梯,看丹桥,南 北,2室1厅,1990年建板楼,58.56平米,315,53791,韩庄子西里 
精装,有电梯,科技园区,东北,2室1厅,2000年建塔楼,93.49平米,395,42251,宝隆温泉公寓 
简装,有电梯,玉泉营,南,3室2厅,2006年建板塔结合,121.31平米,680,56055,三环新城6号院 
精装,有电梯,玉泉营,西南,2室1厅,2005年建塔楼,97.11平米,535,55093,三环新城7号院 
精装,有电梯,玉泉营,南 北,3室1厅,2006年建板楼,138.48平米,939,67808,万年花城三期 
简装,有电梯,科技园区,东南 西北,4室2厅,2001年建塔楼,199.42平米,1180,59172,怡海花园富泽园 
精装,有电梯,马家堡,南,1室1厅,2004年建板楼,44.48平米,350,78688,益明园 
简装,无电梯,刘家窑,南 北,2室1厅,1998年建板楼,77.7平米,415,53411,方南家园一期 
精装,有电梯,马家堡,西北,2室1厅,2004年建塔楼,72.78平米,518,71174,星河城西区 
其他,有电梯,玉泉营,西南,2室1厅,2007年建板楼,87.96平米,596,67759,万年花城二期 
精装,有电梯,马家堡,南 北,2室1厅,2009年建板楼,90.07平米,545,60509,左右坊 
精装,有电梯,科技园区,东,2室1厅,2000年建塔楼,67.9平米,300,44183,宝隆温泉公寓 
简装,有电梯,七里庄,东,1室1厅,2002年建板楼,61.51平米,395,64218,西局欣园南区 
精装,有电梯,太平桥,东北,1室1厅,2007年建塔楼,60.54平米,415,68550,金唐国际 
精装,有电梯,科技园区,西,1室0厅,2012年建板楼,44.68平米,285,63787,中海御鑫阁 
精装,有电梯,广安门,西北,2室1厅,1992年建塔楼,57.6平米,416,72223,莲花池南里 
精装,有电梯,科技园区,南 北,2室1厅,2012年建板楼,86.55平米,635,73368,中海苏黎世家 
精装,有电梯,六里桥,南,2室1厅,1999年建塔楼,101.13平米,677.9,67033,莲香园 
精装,有电梯,玉泉营,东南,3室1厅,2005年建板楼,101.23平米,700,69150,万年花城一期 
精装,有电梯,马连道,东 南,3室1厅,2006年建塔楼,128.04平米,890,69510,丽泽雅园 
简装,无电梯,科技园区,南 北,2室1厅,1995年建板楼,63.19平米,308,48742,富丰园小区 
精装,有电梯,科技园区,南,1室0厅,2012年建板楼,36.77平米,273,74246,中海御鑫阁 
精装,1室0厅,科技园区,南,2室1厅,2014年建板楼,71.19平米,500,70235,京投银泰万科西华府 
精装,有电梯,科技园区,东,1室0厅,2012年建板楼,38.1平米,267,70079,中海御鑫阁 
其他,有电梯,玉泉营,南,1室1厅,2006年建塔楼,62.5平米,405,64800,怡海花园恒丰园 
精装,有电梯,五里店,北,1室1厅,2005年建板楼,54.78平米,290,52940,和光里 
精装,有电梯,科技园区,南 北,2室1厅,2012年建板楼,90.98平米,650,71445,中海御鑫阁 
其他,有电梯,角门,东北,3室1厅,2000年建塔楼,114.68平米,600,52320,京华苑 
简装,无电梯,青塔,北,1室1厅,1995年建板楼,57.35平米,270,47080,青塔东里 
精装,有电梯,西罗园,东,1室1厅,2004年建板塔结合,53.99平米,385,71310,珠江骏景北区 
简装,有电梯,马家堡,东北,2室1厅,2004年建塔楼,83.19平米,520,62508,明月嘉园 
精装,有电梯,马家堡,西,1室1厅,2007年建塔楼,72.3平米,506,69987,星河城东区 
精装,有电梯,七里庄,南 北,3室2厅,2007年建板塔结合,136.81平米,1200,87713,西局欣园北区 
简装,有电梯,马家堡,东南,3室1厅,1998年建塔楼,133.93平米,665,49653,嘉园一里 
简装,有电梯,草桥,西南,2室1厅,2006年建塔楼,111.68平米,770,68947,恋日花都 
简装,无电梯,科技园区,南 北,2室2厅,1990年建板楼,95.3平米,560,58762,丰泽居三号院 
精装,有电梯,洋桥,南 北,2室1厅,2000年建塔楼,92.38平米,560,60620,政洋家园 
精装,有电梯,方庄,南 北,3室2厅,1993年建塔楼,123.4平米,736,59644,芳城园一区 
精装,无电梯,玉泉营,东 西,2室1厅,2001年建板楼,79.57平米,360,45244,金丰园 
精装,有电梯,岳各庄,南 北,3室2厅,2006年建板楼,145.14平米,1060,73033,西府兰庭 
简装,有电梯,玉泉营,南,2室1厅,2006年建塔楼,99.25平米,660,66499,万年花城二期 
简装,无电梯,七里庄,南 北,3室1厅,1987年建板楼,69.4平米,425,61240,东大街东里 
简装,有电梯,北大地,南,2室1厅,2001年建塔楼,74.54平米,495,66408,正阳小区 
简装,无电梯,玉泉营,南,2室1厅,2001年建板楼,78.62平米,428,54440,金丰园 
精装,有电梯,玉泉营,南 北,3室1厅,2011年建板楼,135.09平米,1030,76246,青秀城 
精装,无电梯,太平桥,南 北,3室1厅,1989年建板楼,68.27平米,510,74704,太平桥小区 
精装,有电梯,玉泉营,东,3室1厅,2005年建塔楼,134.15平米,840,62617,怡海花园恒丰园 
精装,无电梯,太平桥,南 北,2室1厅,1990年建板楼,58.4平米,367,62843,太平桥小区 
简装,有电梯,北大地,东 西,3室1厅,1999年建板塔结合,95.81平米,560,58450,正阳小区 
精装,无电梯,玉泉营,南 北,2室1厅,1987年建板楼,53.6平米,315,58769,新村二里 
简装,有电梯,太平桥,东 北,2室1厅,1994年建板塔结合,69.67平米,450,64591,太平桥西里 
其他,有电梯,玉泉营,西南,2室1厅,2005年建塔楼,119.86平米,750,62574,怡海花园恒丰园 
简装,有电梯,玉泉营,南,2室1厅,2005年建塔楼,105.37平米,600,56943,三环新城7号院 
精装,无电梯,北大地,南 北,2室1厅,1991年建板楼,64.7平米,369,57033,北大地四里 
其他,无电梯,卢沟桥,南 北,2室1厅,1998年建板楼,93.65平米,350,37374,晓月苑三里 
精装,有电梯,成寿寺,南 北,3室2厅,2010年建板楼,158.68平米,1060,66802,文成建筑 
简装,无电梯,卢沟桥,西南,2室1厅,1998年建板楼,69.58平米,288,41392,晓月苑二里 
简装,有电梯,丽泽,西南,2室1厅,2009年建板塔结合,81.12平米,660,81361,保利百合 
简装,有电梯,玉泉营,西南,2室2厅,2005年建塔楼,133.45平米,820,61447,怡海花园恒丰园 
简装,有电梯,科技园区,东南,3室1厅,2004年建塔楼,136.94平米,782,57106,怡锦园 
简装,有电梯,丽泽,东南,2室1厅,2008年建板塔结合,81.77平米,702,85851,益丰苑 
精装,3室2厅,看丹桥,东 西,2室1厅,1998年建板塔结合,68.72平米,375,54570,新华街五里 
精装,有电梯,青塔,南 北,3室2厅,2006年建板楼,153.51平米,910,59280,天鸿美域 
精装,无电梯,科技园区,北,1室1厅,1997年建板楼,55.68平米,350,62860,怡海花园恒泰园 
简装,有电梯,玉泉营,南,1室1厅,2011年建暂无数据,71.22平米,335,47038,青秀雅苑 
精装,无电梯,七里庄,东 西,1室1厅,1990年建板楼,47.2平米,275,58263,泥洼路5号院 
精装,有电梯,科技园区,南,1室1厅,2017年建板楼,69.1平米,430,62229,京投银泰万科西华府 
精装,有电梯,科技园区,南,1室1厅,2000年建塔楼,59.92平米,289,48231,宝隆温泉公寓 
简装,有电梯,北大地,东,1室1厅,2000年建板塔结合,64.32平米,382,59391,正阳小区 
简装,有电梯,菜户营,南,1室0厅,2008年建板楼,60.48平米,500,82672,顺驰蓝调 
简装,无电梯,岳各庄,南,1室1厅,1992年建板楼,35.43平米,220,62095,大井东里 
